lat,lon,usaf
41.019,-89.386,720141
37.186,-88.751,720170
42.046,-90.108,722204
42.067,-87.683,722417
41.717,-87.533,722418
38.883,-90.05,724394
39.937,-91.192,724396
36.883,-91.9,724398
42.083,-87.833,725306
42.083,-87.817,725306
42.067,-87.683,725307
40.3,-88.15,725310
40.3,-88.15,725310
40.933,-90.433,725323
41.233,-89.617,725325
41.233,-89.617,725325
42.117,-87.9,725339
38.764,-87.605,725342
41.867,-87.6,725346
41.867,-87.6,725346
39.07,-88.534,744661
38.766,-87.6,749075
41.976,-87.648,998497
38.983,-89.167,999999
41.983,-87.9,999999
41.233,-89.617,999999
41.5,-88.167,999999
42.35,-89.05,999999
39.937,-91.192,999999
41.867,-87.617,999999
38.983,-89.167,724337
41.786,-87.752,999999
40.668,-89.684,999999
41.465,-90.523,999999
39.845,-89.684,999999
42.193,-89.093,999999
41.995,-87.934,999999
41.518,-88.176,725345
42.083,-87.833,999999
38.533,-89.833,724338
41.433,-88.417,720137
41.019,-89.386,720141
37.186,-88.751,720170
39.017,-87.65,720319
38.6,-87.733,720330
38.083,-88.117,722074
41.93,-88.71,722075
40.199,-87.596,722076
42.246,-89.582,722082
40.933,-90.433,722089
41.533,-87.533,722126
41.067,-87.833,722127
41.35,-89.15,722149
40.517,-90.65,722157
40.917,-88.617,722171
39.7,-87.667,722172
41.9,-89.083,722182
40.3,-88.15,722194
42.05,-90.1,722204
39.167,-89.667,722972
38.65,-88.967,724330
38.317,-88.867,724335
37.767,-89.25,724336
37.75,-89.017,724339
38.883,-90.033,724395
40.467,-88.917,724397
37.067,-89.217,724975
41.908,-88.249,725305
38.567,-90.15,725314
40.033,-88.267,725315
39.833,-88.867,725316
39.483,-88.283,725317
41.743,-89.683,725326
42.417,-87.867,725347
41.6,-88.1,725348
37.817,-88.55,744652
38.15,-89.7,744653
41.767,-88.467,744655
38.383,-88.417,744656
38.515,-89.091,744657
38.667,-88.45,744658
38.717,-88.183,744659
39.533,-89.333,744662
39.633,-90.783,744663
42.117,-87.9,744665
39.767,-90.233,744666
40.167,-89.333,744672
37.78,-89.25,999999
40.053,-88.373,999999
41.843,-88.851,999999
42,-87.5,997338
42.35,-87.82,997735
41.856,-87.609,998499
41.425,-88.419,720137
39.016,-87.65,720319
38.607,-87.727,720330
38.089,-88.123,722074
40.2,-87.6,722076
41.54,-87.532,722126
41.071,-87.846,722127
40.52,-90.652,722157
40.924,-88.624,722171
39.7,-87.669,722172
40.293,-88.142,722194
39.163,-89.675,722972
38.65,-88.967,724330
38.323,-88.858,724335
37.78,-89.25,724336
38.55,-89.85,724338
37.75,-89,724339
39.845,-89.684,724390
38.883,-90.05,724395
40.483,-88.95,724397
39.937,-91.192,724430
37.064,-89.219,724975
41.914,-88.246,725305
38.571,-90.157,725314
40.04,-88.278,725315
39.834,-88.866,725316
39.478,-88.28,725317
40.668,-89.684,725320
41.786,-87.752,725340
38.764,-87.606,725342
41.5,-88.167,725345
42.417,-87.867,725347
41.604,-88.085,725348
37.811,-88.549,744652
38.149,-89.699,744653
41.77,-88.481,744655
38.379,-88.413,744656
38.515,-89.092,744657
38.665,-88.453,744658
38.722,-88.176,744659
39.534,-89.328,744662
39.639,-90.778,744663
39.78,-90.238,744666
40.158,-89.335,744672
39.07,-88.533,999999
41.019,-89.386,A00017
41.932,-88.708,722075
42.246,-89.582,722082
40.933,-90.433,722089
41.352,-89.153,722149
41.893,-89.078,722182
41.96,-87.932,725300
41.743,-89.676,725326
42.193,-89.093,725430
41.465,-90.523,725440
42.121,-87.905,744665
